Array length,Registers,Seed,Run,Threads,Time,Percent error
25,14,1,1,1,1.21089670899983,0.226281
26,14,1,1,1,2.72818029200016,0.278581
27,14,1,1,1,5.5593769459997,0.453553
28,14,1,1,1,11.119938546,1.591019
29,14,1,1,1,19.4065443560003,0.534132
30,14,1,1,1,38.862263819,0.646681
25,14,1,1,2,0.620583248999992,0.226281
26,14,1,1,2,1.38553153900011,0.278581
27,14,1,1,2,2.68608384499976,0.453553
28,14,1,1,2,5.51002643099991,1.591019
29,14,1,1,2,10.0406040810003,0.534132
30,14,1,1,2,19.4302329049997,0.646681
25,14,1,1,3,0.429558619999625,0.226281
26,14,1,1,3,0.921489576000113,0.278581
27,14,1,1,3,1.81948625799987,0.453553
28,14,1,1,3,3.66171792499972,1.591019
29,14,1,1,3,6.74533531100042,0.534132
30,14,1,1,3,12.9765843739997,0.646681
25,14,1,1,4,0.315961313000116,0.226281
26,14,1,1,4,0.685194953000064,0.278581
27,14,1,1,4,1.34677556299994,0.453553
28,14,1,1,4,2.74207410899999,1.591019
29,14,1,1,4,4.93384919100026,0.534132
30,14,1,1,4,9.80154644300001,0.646681
25,14,1,1,5,0.313244756000131,0.226281
26,14,1,1,5,0.677099295000062,0.278581
27,14,1,1,5,1.42351048399996,0.453553
28,14,1,1,5,2.52069068099991,1.591019
29,14,1,1,5,4.8824222610001,0.534132
30,14,1,1,5,9.9957410449997,0.646681
25,14,1,1,6,0.291092209999988,0.226281
26,14,1,1,6,0.582312082000044,0.278581
27,14,1,1,6,1.12309210700005,0.453553
28,14,1,1,6,2.28130438900007,1.591019
29,14,1,1,6,4.59940615399955,0.534132
30,14,1,1,6,9.29525971300063,0.646681
25,14,1,1,7,0.27581466699985,0.226281
26,14,1,1,7,0.542373672999929,0.278581
27,14,1,1,7,1.10817890599992,0.453553
28,14,1,1,7,2.17424426399975,1.591019
29,14,1,1,7,4.23151006900025,0.534132
30,14,1,1,7,8.34711711299951,0.646681
25,14,1,1,8,0.254099405999568,0.226281
26,14,1,1,8,0.49231469499955,0.278581
27,14,1,1,8,0.966308353999921,0.453553
28,14,1,1,8,1.90454918000023,1.591019
29,14,1,1,8,3.80723278700043,0.534132
30,14,1,1,8,7.60818703600034,0.646681
25,14,1,2,1,1.24539653500005,0.226281
26,14,1,2,1,2.720904625,0.278581
27,14,1,2,1,5.47908197200013,0.453553
28,14,1,2,1,11.068589811,1.591019
29,14,1,2,1,19.3954880970005,0.534132
30,14,1,2,1,38.7058627010001,0.646681
25,14,1,2,2,0.620385057000021,0.226281
26,14,1,2,2,1.26276848999987,0.278581
27,14,1,2,2,2.71110041199972,0.453553
28,14,1,2,2,5.46583315699991,1.591019
29,14,1,2,2,9.71670906500003,0.534132
30,14,1,2,2,19.4353173509999,0.646681
25,14,1,2,3,0.412712618000114,0.226281
26,14,1,2,3,0.931313725000109,0.278581
27,14,1,2,3,1.87932268099985,0.453553
28,14,1,2,3,3.63985343500008,1.591019
29,14,1,2,3,6.49834702899989,0.534132
30,14,1,2,3,13.0362404500002,0.646681
25,14,1,2,4,0.339004787000249,0.226281
26,14,1,2,4,0.685713117000432,0.278581
27,14,1,2,4,1.39757802299982,0.453553
28,14,1,2,4,2.75183593200018,1.591019
29,14,1,2,4,6.61944803900042,0.534132
30,14,1,2,4,9.75376160999986,0.646681
25,14,1,2,5,0.304987108000205,0.226281
26,14,1,2,5,0.611682008999651,0.278581
27,14,1,2,5,1.37350695500027,0.453553
28,14,1,2,5,2.44660587700037,1.591019
29,14,1,2,5,4.75578041199969,0.534132
30,14,1,2,5,10.2330276039993,0.646681
25,14,1,2,6,0.295213704000162,0.226281
26,14,1,2,6,0.566993136999827,0.278581
27,14,1,2,6,1.20064804999993,0.453553
28,14,1,2,6,2.33854587799988,1.591019
29,14,1,2,6,4.52358425900002,0.534132
30,14,1,2,6,9.31412229800026,0.646681
25,14,1,2,7,0.266495716999998,0.226281
26,14,1,2,7,0.546406061000198,0.278581
27,14,1,2,7,1.08321643299996,0.453553
28,14,1,2,7,2.2113100319998,1.591019
29,14,1,2,7,4.21493161400031,0.534132
30,14,1,2,7,8.42357895700025,0.646681
25,14,1,2,8,0.246655200000077,0.226281
26,14,1,2,8,0.487464131999786,0.278581
27,14,1,2,8,0.96892683499982,0.453553
28,14,1,2,8,1.9286545230002,1.591019
29,14,1,2,8,3.8032585130004,0.534132
30,14,1,2,8,7.30904379999993,0.646681
25,14,1,3,1,1.2236803740002,0.226281
26,14,1,3,1,2.7951181149997,0.278581
27,14,1,3,1,5.51620866899975,0.453553
28,14,1,3,1,11.0056731049999,1.591019
29,14,1,3,1,19.4260468779994,0.534132
30,14,1,3,1,38.7599973750002,0.646681
25,14,1,3,2,0.628797725999902,0.226281
26,14,1,3,2,1.37364389200002,0.278581
27,14,1,3,2,2.75612376200024,0.453553
28,14,1,3,2,5.45562620300007,1.591019
29,14,1,3,2,9.78655079000055,0.534132
30,14,1,3,2,19.4553598310004,0.646681
25,14,1,3,3,0.415664212000138,0.226281
26,14,1,3,3,0.903679111000201,0.278581
27,14,1,3,3,1.84304716299994,0.453553
28,14,1,3,3,3.50782948099959,1.591019
29,14,1,3,3,6.59129264800049,0.534132
30,14,1,3,3,13.0277838780003,0.646681
25,14,1,3,4,0.313588150000214,0.226281
26,14,1,3,4,0.692001611999785,0.278581
27,14,1,3,4,1.3522636560001,0.453553
28,14,1,3,4,2.7293075499997,1.591019
29,14,1,3,4,5.01427560299999,0.534132
30,14,1,3,4,9.75460643899987,0.646681
25,14,1,3,5,0.315608480000265,0.226281
26,14,1,3,5,0.626021104000301,0.278581
27,14,1,3,5,1.27422608899997,0.453553
28,14,1,3,5,2.49600925300001,1.591019
29,14,1,3,5,5.42590745199959,0.534132
30,14,1,3,5,10.6691149649996,0.646681
25,14,1,3,6,0.298884014000123,0.226281
26,14,1,3,6,0.594948033000037,0.278581
27,14,1,3,6,1.16766133600004,0.453553
28,14,1,3,6,2.27642501799983,1.591019
29,14,1,3,6,4.62119270899984,0.534132
30,14,1,3,6,9.18809696700009,0.646681
25,14,1,3,7,0.254856620999817,0.226281
26,14,1,3,7,0.547268978999909,0.278581
27,14,1,3,7,1.08136019299991,0.453553
28,14,1,3,7,2.16819370199983,1.591019
29,14,1,3,7,4.25850978499966,0.534132
30,14,1,3,7,8.39365855699998,0.646681
25,14,1,3,8,0.248750171999745,0.226281
26,14,1,3,8,0.487248774000363,0.278581
27,14,1,3,8,0.955968658000074,0.453553
28,14,1,3,8,1.93284186999972,1.591019
29,14,1,3,8,3.80208451899944,0.534132
30,14,1,3,8,7.53181997000047,0.646681
25,14,1,4,1,1.21757152600003,0.226281
26,14,1,4,1,2.77118852500007,0.278581
27,14,1,4,1,5.49506121400009,0.453553
28,14,1,4,1,10.9974966179998,1.591019
29,14,1,4,1,19.524297076,0.534132
30,14,1,4,1,38.8536405340001,0.646681
25,14,1,4,2,0.614949434999744,0.226281
26,14,1,4,2,1.38501241699987,0.278581
27,14,1,4,2,2.730681473,0.453553
28,14,1,4,2,5.45168160200001,1.591019
29,14,1,4,2,9.76662215000033,0.534132
30,14,1,4,2,19.5451600749993,0.646681
25,14,1,4,3,0.419980940000187,0.226281
26,14,1,4,3,0.912776610000037,0.278581
27,14,1,4,3,1.81197839099968,0.453553
28,14,1,4,3,3.67221375899999,1.591019
29,14,1,4,3,6.52759900100045,0.534132
30,14,1,4,3,12.9529219899996,0.646681
25,14,1,4,4,0.42172256799995,0.226281
26,14,1,4,4,0.847357109999848,0.278581
27,14,1,4,4,1.37202996299993,0.453553
28,14,1,4,4,2.75595989600015,1.591019
29,14,1,4,4,4.96747165099987,0.534132
30,14,1,4,4,9.73964673799946,0.646681
25,14,1,4,5,0.334891835000235,0.226281
26,14,1,4,5,0.622735068000111,0.278581
27,14,1,4,5,1.26745132900032,0.453553
28,14,1,4,5,2.70157427000004,1.591019
29,14,1,4,5,4.71554263899998,0.534132
30,14,1,4,5,9.92600764899998,0.646681
25,14,1,4,6,0.311879181999757,0.226281
26,14,1,4,6,0.575363366000147,0.278581
27,14,1,4,6,1.19708532599998,0.453553
28,14,1,4,6,2.28053509799975,1.591019
29,14,1,4,6,4.65081135299988,0.534132
30,14,1,4,6,9.24666323899964,0.646681
25,14,1,4,7,0.270141331000104,0.226281
26,14,1,4,7,0.539935516999776,0.278581
27,14,1,4,7,1.05341423099981,0.453553
28,14,1,4,7,2.12203185899989,1.591019
29,14,1,4,7,4.33367560699935,0.534132
30,14,1,4,7,8.36089267500029,0.646681
25,14,1,4,8,0.243235546000051,0.226281
26,14,1,4,8,0.476644067000052,0.278581
27,14,1,4,8,0.956548198000291,0.453553
28,14,1,4,8,1.89811763099988,1.591019
29,14,1,4,8,3.82617211500019,0.534132
30,14,1,4,8,7.60523854700023,0.646681
25,14,1,5,1,1.2146034729999,0.226281
26,14,1,5,1,2.7219020890002,0.278581
27,14,1,5,1,5.43690527199988,0.453553
28,14,1,5,1,10.7949327310002,1.591019
29,14,1,5,1,19.768320741,0.534132
30,14,1,5,1,38.9487723439997,0.646681
25,14,1,5,2,0.617791824000051,0.226281
26,14,1,5,2,1.36187083300001,0.278581
27,14,1,5,2,2.73169383499999,0.453553
28,14,1,5,2,5.46521263799968,1.591019
29,14,1,5,2,9.87441337900054,0.534132
30,14,1,5,2,19.4189741700002,0.646681
25,14,1,5,3,0.435093419000168,0.226281
26,14,1,5,3,0.940761047999786,0.278581
27,14,1,5,3,1.78659191600036,0.453553
28,14,1,5,3,3.68280709200008,1.591019
29,14,1,5,3,6.55471680099981,0.534132
30,14,1,5,3,13.0361048060004,0.646681
25,14,1,5,4,0.32865797300019,0.226281
26,14,1,5,4,0.755127852999976,0.278581
27,14,1,5,4,1.33256393700003,0.453553
28,14,1,5,4,2.69134039099981,1.591019
29,14,1,5,4,4.97769064300064,0.534132
30,14,1,5,4,9.7670560229999,0.646681
25,14,1,5,5,0.31791634900037,0.226281
26,14,1,5,5,0.649855400999968,0.278581
27,14,1,5,5,1.24852070399993,0.453553
28,14,1,5,5,2.59969274300011,1.591019
29,14,1,5,5,4.82790385000044,0.534132
30,14,1,5,5,9.7594908760002,0.646681
25,14,1,5,6,0.303132925000227,0.226281
26,14,1,5,6,0.586714095999923,0.278581
27,14,1,5,6,1.16962262800007,0.453553
28,14,1,5,6,2.251472122,1.591019
29,14,1,5,6,4.59804815299958,0.534132
30,14,1,5,6,9.28385575800075,0.646681
25,14,1,5,7,0.272236003000216,0.226281
26,14,1,5,7,0.539375912000196,0.278581
27,14,1,5,7,1.09172857899966,0.453553
28,14,1,5,7,2.16697850300034,1.591019
29,14,1,5,7,4.24420805499994,0.534132
30,14,1,5,7,8.54158665799969,0.646681
25,14,1,5,8,0.247576191000007,0.226281
26,14,1,5,8,0.490006423000068,0.278581
27,14,1,5,8,0.956117985000219,0.453553
28,14,1,5,8,1.9316368599998,1.591019
29,14,1,5,8,3.80171245600013,0.534132
30,14,1,5,8,7.5499186699999,0.646681
25,14,1,6,1,1.21595401200011,0.226281
26,14,1,6,1,2.79609538600016,0.278581
27,14,1,6,1,5.48658581900008,0.453553
28,14,1,6,1,11.1058682520002,1.591019
29,14,1,6,1,19.5070155149997,0.534132
30,14,1,6,1,38.7413646659998,0.646681
25,14,1,6,2,0.618571828999848,0.226281
26,14,1,6,2,1.36002177,0.278581
27,14,1,6,2,2.76360583499991,0.453553
28,14,1,6,2,5.49681585500002,1.591019
29,14,1,6,2,9.76586391000001,0.534132
30,14,1,6,2,19.4824072539996,0.646681
25,14,1,6,3,0.41660435499989,0.226281
26,14,1,6,3,0.903813575000186,0.278581
27,14,1,6,3,1.8231721420002,0.453553
28,14,1,6,3,3.70260769300012,1.591019
29,14,1,6,3,6.6444937389997,0.534132
30,14,1,6,3,12.9702668250002,0.646681
25,14,1,6,4,0.324388207000084,0.226281
26,14,1,6,4,0.672116626999923,0.278581
27,14,1,6,4,1.69055967800023,0.453553
28,14,1,6,4,2.77381160899995,1.591019
29,14,1,6,4,4.99162910199993,0.534132
30,14,1,6,4,9.73648449200027,0.646681
25,14,1,6,5,0.306539336000242,0.226281
26,14,1,6,5,0.597028994000084,0.278581
27,14,1,6,5,1.25236482399987,0.453553
28,14,1,6,5,2.52732016699974,1.591019
29,14,1,6,5,5.17185777100076,0.534132
30,14,1,6,5,10.1191205960004,0.646681
25,14,1,6,6,0.286845316999916,0.226281
26,14,1,6,6,0.598081434000051,0.278581
27,14,1,6,6,1.202588913,0.453553
28,14,1,6,6,2.31472844599966,1.591019
29,14,1,6,6,4.51898720600002,0.534132
30,14,1,6,6,9.01750286200058,0.646681
25,14,1,6,7,0.276103539999895,0.226281
26,14,1,6,7,0.542269326000223,0.278581
27,14,1,6,7,1.1113213929998,0.453553
28,14,1,6,7,2.13666069099963,1.591019
29,14,1,6,7,4.23318394499984,0.534132
30,14,1,6,7,8.27553751599953,0.646681
25,14,1,6,8,0.2537205980002,0.226281
26,14,1,6,8,0.482152312999915,0.278581
27,14,1,6,8,0.963834080000197,0.453553
28,14,1,6,8,1.93275676300027,1.591019
29,14,1,6,8,3.80304894400069,0.534132
30,14,1,6,8,7.60886556100013,0.646681
25,14,1,7,1,1.21087847900026,0.226281
26,14,1,7,1,2.73755681200009,0.278581
27,14,1,7,1,5.59492975900002,0.453553
28,14,1,7,1,11.0463072789998,1.591019
29,14,1,7,1,19.4037888929997,0.534132
30,14,1,7,1,38.7454791829996,0.646681
25,14,1,7,2,0.618057230999966,0.226281
26,14,1,7,2,1.38180278900018,0.278581
27,14,1,7,2,2.74559223599999,0.453553
28,14,1,7,2,5.67285205400003,1.591019
29,14,1,7,2,9.81092443300076,0.534132
30,14,1,7,2,19.4498406160001,0.646681
25,14,1,7,3,0.416164970999944,0.226281
