Array length,Registers,Run,Tasks,Time,Percent error
26,14,1,1,2.63173818588257,0.278581
26,14,1,2,1.78100299835205,0.278581
26,14,1,3,0.977696895599365,0.278581
26,14,1,4,0.777246952056885,0.278581
26,14,1,5,0.770771980285645,0.278581
26,14,1,6,0.702301025390625,0.278581
26,14,1,7,0.632657051086426,0.278581
26,14,1,8,0.565294027328491,0.278581
27,14,1,1,5.12528610229492,0.453553
27,14,1,2,3.56013703346252,0.453553
27,14,1,3,1.96030402183533,0.453553
27,14,1,4,1.54303097724915,0.453553
27,14,1,5,1.58604311943054,0.453553
27,14,1,6,1.31338000297546,0.453553
27,14,1,7,1.23701786994934,0.453553
27,14,1,8,1.13364195823669,0.453553
28,14,1,1,10.5175170898438,1.591019
28,14,1,2,7.11392211914062,1.591019
28,14,1,3,3.87193083763123,1.591019
28,14,1,4,3.58304500579834,1.591019
28,14,1,5,2.79504799842834,1.591019
28,14,1,6,2.75419092178345,1.591019
28,14,1,7,2.46899104118347,1.591019
28,14,1,8,2.2863450050354,1.591019
29,14,1,1,20.6424369812012,0.534132
29,14,1,2,14.2484340667725,0.534132
29,14,1,3,7.8084499835968,0.534132
29,14,1,4,6.21272397041321,0.534132
29,14,1,5,6.42804503440857,0.534132
29,14,1,6,5.3997049331665,0.534132
29,14,1,7,4.96028709411621,0.534132
29,14,1,8,4.49181985855103,0.534132
30,14,1,1,40.8256771564484,0.646681
30,14,1,2,28.0122261047363,0.646681
30,14,1,3,15.1190707683563,0.646681
30,14,1,4,13.333065032959,0.646681
30,14,1,5,11.3905258178711,0.646681
30,14,1,6,10.6282877922058,0.646681
30,14,1,7,9.48950719833374,0.646681
30,14,1,8,8.51879596710205,0.646681
26,14,2,1,2.59379196166992,0.278581
26,14,2,2,1.7280387878418,0.278581
26,14,2,3,0.936203002929688,0.278581
26,14,2,4,0.72920298576355,0.278581
26,14,2,5,0.709089994430542,0.278581
26,14,2,6,0.644381999969482,0.278581
26,14,2,7,0.573432207107544,0.278581
26,14,2,8,0.506052017211914,0.278581
27,14,2,1,5.03453302383423,0.453553
27,14,2,2,3.40984010696411,0.453553
27,14,2,3,1.8219850063324,0.453553
27,14,2,4,1.45175004005432,0.453553
27,14,2,5,1.45519399642944,0.453553
27,14,2,6,1.24615287780762,0.453553
27,14,2,7,1.10940599441528,0.453553
27,14,2,8,1.01872611045837,0.453553
28,14,2,1,10.2564079761505,1.591019
28,14,2,2,6.82876896858215,1.591019
28,14,2,3,3.67793798446655,1.591019
28,14,2,4,2.87161207199097,1.591019
28,14,2,5,2.90966796875,1.591019
28,14,2,6,2.57631397247314,1.591019
28,14,2,7,2.24481797218323,1.591019
28,14,2,8,2.05488801002502,1.591019
29,14,2,1,20.2500250339508,0.534132
29,14,2,2,13.5907738208771,0.534132
29,14,2,3,7.28889298439026,0.534132
29,14,2,4,5.7856240272522,0.534132
29,14,2,5,5.85341715812683,0.534132
29,14,2,6,5.08706283569336,0.534132
29,14,2,7,4.47272300720215,0.534132
29,14,2,8,4.04077696800232,0.534132
30,14,2,1,40.3964149951935,0.646681
30,14,2,2,27.5560629367828,0.646681
30,14,2,3,14.8147270679474,0.646681
30,14,2,4,11.3948860168457,0.646681
30,14,2,5,11.0399458408356,0.646681
30,14,2,6,10.19948387146,0.646681
30,14,2,7,9.07955598831177,0.646681
30,14,2,8,8.0036780834198,0.646681
26,14,3,1,2.53203296661377,0.278581
26,14,3,2,1.71350693702698,0.278581
26,14,3,3,0.92798900604248,0.278581
26,14,3,4,0.717883110046387,0.278581
26,14,3,5,0.712342023849487,0.278581
26,14,3,6,0.609170913696289,0.278581
26,14,3,7,0.575732946395874,0.278581
26,14,3,8,0.506224870681763,0.278581
27,14,3,1,5.03672909736633,0.453553
27,14,3,2,3.42859292030334,0.453553
27,14,3,3,1.86379814147949,0.453553
27,14,3,4,1.44505095481873,0.453553
27,14,3,5,1.48065114021301,0.453553
27,14,3,6,1.21698403358459,0.453553
27,14,3,7,1.13372707366943,0.453553
27,14,3,8,1.01975417137146,0.453553
28,14,3,1,10.2819151878357,1.591019
28,14,3,2,6.78678107261658,1.591019
28,14,3,3,3.6679220199585,1.591019
