Array length,Tasks,Time,Speedup,Efficiency,Percent error
2^26,1,2.542,1.000,1.000,0.279
2^26,2,1.716,1.481,0.741,0.279
2^26,3,0.938,2.711,0.904,0.279
2^26,4,0.726,3.502,0.875,0.279
2^26,5,0.715,3.557,0.711,0.279
2^26,6,0.611,4.164,0.694,0.279
2^26,7,0.571,4.450,0.636,0.279
2^26,8,0.506,5.020,0.627,0.279
2^27,1,5.058,1.000,1.000,0.454
2^27,2,3.377,1.498,0.749,0.454
2^27,3,1.828,2.767,0.922,0.454
2^27,4,1.450,3.488,0.872,0.454
2^27,5,1.473,3.434,0.687,0.454
2^27,6,1.261,4.012,0.669,0.454
2^27,7,1.119,4.522,0.646,0.454
2^27,8,1.017,4.974,0.622,0.454
2^28,1,10.224,1.000,1.000,1.591
2^28,2,6.808,1.502,0.751,1.591
2^28,3,3.669,2.786,0.929,1.591
2^28,4,2.894,3.533,0.883,1.591
2^28,5,2.816,3.631,0.726,1.591
2^28,6,2.526,4.047,0.675,1.591
2^28,7,2.250,4.543,0.649,1.591
2^28,8,2.056,4.972,0.621,1.591
2^29,1,20.302,1.000,1.000,0.534
2^29,2,13.673,1.485,0.742,0.534
2^29,3,7.333,2.769,0.923,0.534
2^29,4,5.787,3.508,0.877,0.534
2^29,5,5.813,3.493,0.699,0.534
2^29,6,5.085,3.993,0.665,0.534
2^29,7,4.515,4.497,0.642,0.534
2^29,8,4.047,5.016,0.627,0.534
2^30,1,40.513,1.000,1.000,0.647
2^30,2,27.518,1.472,0.736,0.647
2^30,3,14.878,2.723,0.908,0.647
2^30,4,11.438,3.542,0.886,0.647
2^30,5,11.627,3.484,0.697,0.647
2^30,6,10.116,4.005,0.668,0.647
2^30,7,9.038,4.482,0.640,0.647
2^30,8,8.052,5.031,0.629,0.647
