Array length,Registers,Run,Threads,Time,Percent error
26,14,1,1,2.578595253,0.278581
27,14,1,1,5.03240499000003,0.453553
28,14,1,1,9.8621289140001,1.591019
29,14,1,1,20.078769622,0.534132
30,14,1,1,39.7909507029999,0.646681
26,14,1,2,1.236454745,0.278581
27,14,1,2,2.48279680799999,0.453553
28,14,1,2,4.97328457499998,1.591019
29,14,1,2,9.88004733000002,0.534132
30,14,1,2,19.7975787669998,0.646681
26,14,1,3,0.825301635000017,0.278581
27,14,1,3,1.63996027199994,0.453553
28,14,1,3,3.32272940799999,1.591019
29,14,1,3,6.82343748500011,0.534132
30,14,1,3,13.3448244639999,0.646681
26,14,1,4,0.625080091999962,0.278581
27,14,1,4,1.24108318999993,0.453553
28,14,1,4,2.47177629699991,1.591019
29,14,1,4,4.98489878200007,0.534132
30,14,1,4,10.01327356,0.646681
26,14,1,5,0.648233430999994,0.278581
27,14,1,5,1.28973059700002,0.453553
28,14,1,5,2.57521312999995,1.591019
29,14,1,5,4.91698487100007,0.534132
30,14,1,5,10.101321049,0.646681
26,14,1,6,0.562780233000012,0.278581
27,14,1,6,1.08509536999998,0.453553
28,14,1,6,2.26498401099991,1.591019
29,14,1,6,4.37213502500003,0.534132
30,14,1,6,8.79568137300021,0.646681
26,14,1,7,0.507543117000012,0.278581
27,14,1,7,0.994125359999998,0.453553
28,14,1,7,2.03042459400001,1.591019
29,14,1,7,3.88102490400001,0.534132
30,14,1,7,7.93588941799999,0.646681
26,14,1,8,0.43714898799999,0.278581
27,14,1,8,0.866705800000091,0.453553
28,14,1,8,1.79668905000005,1.591019
29,14,1,8,3.47455861799995,0.534132
30,14,1,8,6.94928036400006,0.646681
26,14,2,1,2.65260835800001,0.278581
27,14,2,1,4.903843091,0.453553
28,14,2,1,10.049360059,1.591019
29,14,2,1,19.6587968700001,0.534132
30,14,2,1,39.6885010209999,0.646681
26,14,2,2,1.267515737,0.278581
27,14,2,2,2.572095537,0.453553
28,14,2,2,4.97485345400003,1.591019
29,14,2,2,9.99133465900013,0.534132
30,14,2,2,20.0672092300001,0.646681
26,14,2,3,0.829713907000041,0.278581
27,14,2,3,1.65565479400004,0.453553
28,14,2,3,3.28473456799998,1.591019
29,14,2,3,6.6539270610001,0.534132
30,14,2,3,13.3260160090003,0.646681
26,14,2,4,0.627423386000032,0.278581
27,14,2,4,1.24894477099997,0.453553
28,14,2,4,2.49648912400005,1.591019
29,14,2,4,4.93110222299993,0.534132
30,14,2,4,9.91760820000036,0.646681
26,14,2,5,0.642002687000002,0.278581
27,14,2,5,1.28721741200002,0.453553
28,14,2,5,2.54388330400002,1.591019
29,14,2,5,5.03023336000001,0.534132
30,14,2,5,9.53621695699985,0.646681
26,14,2,6,0.574702581999986,0.278581
27,14,2,6,1.09905370600006,0.453553
28,14,2,6,2.39163393000001,1.591019
29,14,2,6,4.53368856599991,0.534132
30,14,2,6,8.56385423699976,0.646681
26,14,2,7,0.497759273999975,0.278581
27,14,2,7,0.994680637999977,0.453553
28,14,2,7,2.05074280700001,1.591019
29,14,2,7,3.95690874899992,0.534132
30,14,2,7,7.94578865400035,0.646681
26,14,2,8,0.442647530999977,0.278581
27,14,2,8,0.874982667999916,0.453553
28,14,2,8,1.79747885699999,1.591019
29,14,2,8,3.47919059600008,0.534132
30,14,2,8,6.94795453100005,0.646681
26,14,3,1,2.501089724,0.278581
27,14,3,1,5.01888109900005,0.453553
28,14,3,1,10.626475192,1.591019
29,14,3,1,20.8675172119999,0.534132
30,14,3,1,39.9073141919998,0.646681
26,14,3,2,1.23997559399999,0.278581
27,14,3,2,2.48319348500002,0.453553
28,14,3,2,4.96022354399997,1.591019
29,14,3,2,10.188802808,0.534132
30,14,3,2,19.8247697080001,0.646681
26,14,3,3,0.862871536,0.278581
27,14,3,3,1.67972388700002,0.453553
28,14,3,3,3.30993571400006,1.591019
29,14,3,3,6.7624345270001,0.534132
30,14,3,3,13.3945372399999,0.646681
26,14,3,4,0.631819337000024,0.278581
27,14,3,4,1.26408967700002,0.453553
28,14,3,4,2.50388047599995,1.591019
29,14,3,4,4.96102647800012,0.534132
30,14,3,4,10.1102305170002,0.646681
26,14,3,5,0.637625875999959,0.278581
27,14,3,5,1.28024924400006,0.453553
28,14,3,5,2.57541978899997,1.591019
29,14,3,5,5.13780195100003,0.534132
30,14,3,5,10.168379882,0.646681
26,14,3,6,0.583871584000008,0.278581
27,14,3,6,1.14334291500006,0.453553
28,14,3,6,2.23350052900003,1.591019
29,14,3,6,4.28029888500009,0.534132
30,14,3,6,8.5069198340002,0.646681
26,14,3,7,0.507268293000038,0.278581
27,14,3,7,1.00127550399998,0.453553
28,14,3,7,2.07784256800005,1.591019
29,14,3,7,3.95531258300002,0.534132
30,14,3,7,7.76169748100028,0.646681
26,14,3,8,0.43618576800003,0.278581
27,14,3,8,0.870867689999955,0.453553
28,14,3,8,1.81534736499998,1.591019
29,14,3,8,3.46185773399998,0.534132
30,14,3,8,6.94555061599976,0.646681
26,14,4,1,2.58516727199998,0.278581
27,14,4,1,4.87625175999995,0.453553
28,14,4,1,9.87404675899995,1.591019
29,14,4,1,19.7133718500002,0.534132
30,14,4,1,39.2689433990004,0.646681
26,14,4,2,1.24659776999999,0.278581
27,14,4,2,2.462199295,0.453553
28,14,4,2,5.04281818300001,1.591019
29,14,4,2,9.99870699799999,0.534132
30,14,4,2,19.7002282529998,0.646681
26,14,4,3,0.827446267000028,0.278581
