Array length,Threads,Time,Speedup,Efficiency,Percent error
2^26,1,2.510,1.000,1.000,0.279
2^26,2,1.251,2.006,1.003,0.279
2^26,3,0.836,3.001,1.000,0.279
2^26,4,0.626,4.010,1.002,0.279
2^26,5,0.647,3.882,0.776,0.279
2^26,6,0.570,4.401,0.733,0.279
2^26,7,0.500,5.017,0.717,0.279
2^26,8,0.439,5.716,0.715,0.279
2^27,1,5.031,1.000,1.000,0.454
2^27,2,2.493,2.018,1.009,0.454
2^27,3,1.662,3.026,1.009,0.454
2^27,4,1.247,4.036,1.009,0.454
2^27,5,1.285,3.914,0.783,0.454
2^27,6,1.113,4.519,0.753,0.454
2^27,7,0.995,5.055,0.722,0.454
2^27,8,0.874,5.754,0.719,0.454
2^28,1,9.929,1.000,1.000,1.591
2^28,2,4.984,1.992,0.996,1.591
2^28,3,3.302,3.007,1.002,1.591
2^28,4,2.492,3.985,0.996,1.591
2^28,5,2.591,3.832,0.766,1.591
2^28,6,2.279,4.356,0.726,1.591
2^28,7,2.047,4.851,0.693,1.591
2^28,8,1.799,5.519,0.690,1.591
2^29,1,19.874,1.000,1.000,0.534
2^29,2,9.961,1.995,0.998,0.534
2^29,3,6.628,2.999,1.000,0.534
2^29,4,4.955,4.011,1.003,0.534
2^29,5,5.071,3.919,0.784,0.534
2^29,6,4.379,4.539,0.756,0.534
2^29,7,3.944,5.039,0.720,0.534
2^29,8,3.476,5.718,0.715,0.534
2^30,1,39.931,1.000,1.000,0.647
2^30,2,19.926,2.004,1.002,0.647
2^30,3,13.298,3.003,1.001,0.647
2^30,4,9.918,4.026,1.007,0.647
2^30,5,10.163,3.929,0.786,0.647
2^30,6,8.664,4.609,0.768,0.647
2^30,7,7.900,5.055,0.722,0.647
2^30,8,6.949,5.747,0.718,0.647
